level-1,level-2,level-3,level-4,0
A1,A1.1,A1.1.3,A1.1.3.2,46903
A1,A1.1,A1.1.3,A1.1.3.1,36867
A1,A1.1,A1.1.3,A1.1.3.3,3726
A1,A1.1,A1.1.2,A1.4.1.1,1
A1,A1.2,A1.2.2,A1.2.2.1,10775
A1,A1.2,A1.2.2,A1.2.2.2,4147
A1,A1.2,A1.2.3,A1.2.3.1,89361
A1,A1.2,A1.2.3,A1.2.3.5,48319
A1,A1.2,A1.2.3,A1.2.3.2,7064
A1,A1.2,A1.2.3,A1.2.3.4,6802
A1,A1.2,A1.2.3,A1.2.3.3,4608
A1,A1.3,A1.3.1,A1.3.1.1,2489
A1,A1.3,A1.4.1,A1.4.1.2,1
A1,A1.4,A1.4.1,A1.4.1.2,323929
A1,A1.4,A1.4.1,A1.4.1.1,40770
A1,A1.4,A1.2.3,A1.4.1.1,16
A1,A1.4,A1.3.1,A1.4.1.1,4
A1,A1.4,A1.2.3,A1.2.3.2,1
A2,A2.1,A1.2.3,A2.1.5.2,1
A2,A2.1,A1.2.3,A2.1.5.1,1
A2,A2.1,A2.1.4,A2.1.4.1,591
A2,A2.1,A2.1.5,A2.1.5.2,25865
A2,A2.1,A2.1.5,A2.1.5.1,9796
A2,A2.1,A2.1.5,A2.1.5.4,4443
A2,A2.1,A2.1.5,A2.1.5.3,474
A2,A2.2,B2.2.1,B2.2.1.2,9
B1,B1.3,B1.3.1,B1.3.1.3,133993
B1,B1.3,B1.3.1,B1.3.1.1,42723
B1,B1.3,B1.3.1,B1.3.1.2,35399
B1,B1.3,B1.3.2,B1.3.2.1,293
B2,B2.2,B2.2.1,B2.2.1.2,191248
B2,B2.2,B2.2.1,B2.2.1.1,44860
B2,B2.2,A1.2.2,B2.2.1.2,495
B2,B2.3,B2.2.1,B2.2.1.2,1
