type\source,MSH,CHV,NCI,SNOMEDCT_US,MEDCIN,DRUGBANK,SNMI,LNC,MTHSPL,ICD10CM,FMA,OMIM,MDR,SNOMEDCT_VET,ICD9CM,AOD,MTH,SNM,CSP,RXNORM,NOC,HPO,ICPC2ICD10ENG,NCBI,PDQ,MEDLINEPLUS,ORPHANET,ALT,UMD,GO,PSY,ATC,CPT,MTHICD9,ICPC2P,MED-RT,CCPSS,MMSL,ICF,LCH,NUCCHCPT,CPM,LCH_NW,NEU,RCD,HL7V2.5,NDDF,CST,VANDF,COSTAR,MCM,HL7V3.0,BI,UWDA,DXP,HGNC,NANDA-I,ICD10,AIR,HCPT,CCS,HCPCS,DSM-5,GS,SPN,USP,CVX,OMS,WHO,ICD10AM,ICD10AMAE,ICD10AE,CCC,CCSR_ICD10PCS,QMR,AOT,DDB,ULT,CDCREC,RAM,CCSR_ICD10CM,RCDAE,NIC,MMX,USPMG,SRC,HCDT,ICD10PCS,MTHICPC2ICD10AE,RCDSY,RCDSA,MTHMST,ICPC,ICPC2EENG,PCDS,JABL,PNDS,MVX,CDT,ICF-CY
T116,96369.0,471.0,8055.0,9957.0,530.0,550.0,10.0,7720.0,161.0,0.0,76.0,6.0,0.0,56.0,0.0,17.0,530.0,16.0,338.0,573.0,0.0,2.0,0.0,0.0,632.0,1.0,0.0,0.0,0.0,3.0,2.0,62.0,48.0,0.0,0.0,15.0,1.0,466.0,0.0,1.0,0.0,42.0,25.0,0.0,7.0,0.0,36.0,0.0,148.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T121,53016.0,2536.0,13019.0,16775.0,5726.0,1896.0,52.0,1858.0,3657.0,0.0,2.0,0.0,0.0,67.0,0.0,6.0,848.0,4.0,145.0,10536.0,0.0,0.0,0.0,1.0,2171.0,11.0,0.0,18.0,5.0,0.0,11.0,1854.0,137.0,0.0,0.0,730.0,21.0,11511.0,0.0,1.0,0.0,1.0,29.0,0.0,67.0,0.0,523.0,0.0,1907.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,344.0,2.0,11.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T130,3857.0,75.0,704.0,1775.0,118.0,45.0,0.0,75.0,141.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,15.0,2.0,29.0,36.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,3.0,39.0,0.0,0.0,112.0,0.0,0.0,0.0,10.0,0.0,298.0,0.0,0.0,0.0,1.0,8.0,0.0,4.0,0.0,28.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T109,128257.0,2486.0,9275.0,7797.0,3347.0,1054.0,45.0,2617.0,5758.0,0.0,21.0,0.0,0.0,37.0,0.0,24.0,763.0,7.0,316.0,7200.0,0.0,0.0,0.0,1.0,867.0,2.0,1.0,13.0,4.0,1.0,3.0,760.0,1.0,0.0,0.0,8.0,3.0,7936.0,0.0,4.0,0.0,5.0,51.0,0.0,59.0,0.0,367.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,303.0,2.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T126,20671.0,87.0,1323.0,3262.0,70.0,23.0,3.0,163.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,191.0,13.0,96.0,54.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T123,58238.0,187.0,2507.0,2099.0,102.0,50.0,2.0,1526.0,29.0,0.0,75.0,1.0,0.0,1.0,0.0,10.0,110.0,1.0,195.0,20.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,31.0,0.0,0.0,0.0,3.0,27.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T131,2377.0,57.0,293.0,878.0,43.0,8.0,2.0,191.0,20.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,3.0,61.0,11.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T125,679.0,118.0,388.0,466.0,234.0,20.0,1.0,335.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,28.0,0.0,16.0,178.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,4.0,0.0,276.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,11.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T114,7627.0,65.0,758.0,397.0,44.0,58.0,0.0,849.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,55.0,37.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,1.0,3.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T127,282.0,104.0,80.0,188.0,110.0,13.0,2.0,62.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,5.0,106.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,1097.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
